concept_id,concept,best_decoder_latent,max_dec_cos,n_positive_probe,target_signal_variance,target_residual_variance,target_residual_explained,best_latent_pos_activation,best_latent_neg_activation,best_latent_selectivity,best_latent_pos_neg_ratio,max_dec_grad_proj,mean_dec_grad_proj,best_grad_latent,max_dec_grad_norm,mean_dec_grad_norm,target_total_grad_ratio,condition,step,loss,recon_loss,l1_loss,l1_coef,group,layer,scale,seed,sae_latents
0,exacerbate,79,0.13384515047073364,274,3.323525743326172e-05,4.711907386779785,-141773.35677960987,0.22153475880622864,0.18858227133750916,0.08034898393192903,1.1747379299635465,0.001820227364078164,0.00038713408866897225,438,0.020767662674188614,0.006820288486778736,0.26688421865729384,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
1,mitigate,337,0.14424356818199158,303,3.3077853004215285e-05,3.8614554405212402,-116737.39058692122,0.2080898880958557,0.18219028413295746,0.06636156572181227,1.142156826114993,0.002638988196849823,0.00044853624422103167,294,0.020767662674188614,0.006820288486778736,0.3869320486338109,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
2,ameliorate,49,0.10387139767408371,309,3.466134148766287e-05,3.8427422046661377,-110864.35976019676,0.17891526222229004,0.18234282732009888,-0.009487856748819159,0.9812025788992643,0.001352209597826004,0.00031722532003186643,294,0.020767662674188614,0.006820288486778736,0.19826281545847013,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
3,Redis,201,0.1254853755235672,311,3.5080069210380316e-05,4.089082717895508,-116563.268354444,0.1946672648191452,0.19227474927902222,0.006183136984666218,1.012443159721506,0.0019744490273296833,0.00036616844590753317,492,0.020767662674188614,0.006820288486778736,0.2894964092600621,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
4,Kubernetes,29,0.12744657695293427,287,3.273486072430387e-05,4.75010347366333,-145107.40197429745,0.2750875949859619,0.27870574593544006,-0.0065333954325350165,0.9870179898605458,0.0019847999792546034,0.0004237658577039838,294,0.020767662674188614,0.006820288486778736,0.2910140799485481,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
5,arbitrage,112,0.12174007296562195,294,3.299916352261789e-05,2.3500959873199463,-71215.83295070006,0.28537076711654663,0.2894209027290344,-0.007046266942444034,0.9860060367639029,0.0018878747941926122,0.0002907873713411391,380,0.020767662674188614,0.006820288486778736,0.2768027771223302,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
6,PostgreSQL,190,0.1074487492442131,329,3.176121026626788e-05,2.287938117980957,-72034.60653906391,0.2501069903373718,0.25463637709617615,-0.008973642768399943,0.9822122956956125,0.001268110703676939,0.00029683299362659454,476,0.020767662674188614,0.006820288486778736,0.18593212089917668,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
7,metaphor about memory loss,118,0.12798132002353668,310,3.320534960948862e-05,4.0323591232299805,-121436.02894911492,0.25440195202827454,0.22587145864963531,0.05940468939207212,1.1263129139293586,0.0023906163405627012,0.0004520461952779442,380,0.020767662674188614,0.006820288486778736,0.3505154283204358,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
8,telomerase,374,0.12430663406848907,285,2.990990105899982e-05,1.9938812255859375,-66661.91389563354,0.20168717205524445,0.20533575117588043,-0.008964062765879013,0.9822311072375222,0.0016658857930451632,0.0002842078683897853,294,0.020767662674188614,0.006820288486778736,0.24425444701206717,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
9,regret about financial decisions,261,0.14467297494411469,298,3.229875073884614e-05,4.302150249481201,-133197.65375190173,0.14434827864170074,0.1351039856672287,0.033080042011941715,1.0684234609703285,0.0017310070106759667,0.00037559590418823063,380,0.020767662674188614,0.006820288486778736,0.2538026087573503,std_L1_mixed,0,1.0875598192214966,1.087343454360962,0.21640288829803467,0.001,weak,8,0.05,0,512
