source,condition,condition_label,direction_group,layer,public_sae_id,concept_id,concept,allocation_score,best_public_latent
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,0,exacerbate,0.35426223278045654,2968
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,1,mitigate,0.3196146786212921,14137
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,2,ameliorate,0.3207930326461792,11910
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,3,Redis,0.4169234335422516,4754
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,4,Kubernetes,0.30579236149787903,24484
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,5,arbitrage,0.3222242295742035,2093
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,6,PostgreSQL,0.3552088141441345,8402
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,7,metaphor about memory loss,0.38033923506736755,7254
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,8,telomerase,0.25526025891304016,6752
public_sae,public_sae,Public JB SAE,weak,4,blocks.5.hook_resid_pre,9,regret about financial decisions,0.35413873195648193,13824
public_sae,public_sae,Public JB SAE,strong,4,blocks.5.hook_resid_pre,0,sports,0.5476490259170532,10567
public_sae,public_sae,Public JB SAE,strong,4,blocks.5.hook_resid_pre,1,technology,0.5278722047805786,4683
public_sae,public_sae,Public JB SAE,strong,4,blocks.5.hook_resid_pre,2,science,0.45291343331336975,17886
public_sae,public_sae,Public JB SAE,strong,4,blocks.5.hook_resid_pre,3,music,0.5296947956085205,18664
public_sae,public_sae,Public JB SAE,strong,4,blocks.5.hook_resid_pre,4,weather,0.44189968705177307,19631
public_sae,public_sae,Public JB SAE,strong,4,blocks.5.hook_resid_pre,5,food,0.5224407315254211,11197
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,0,random_0,0.15127916634082794,21738
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,1,random_1,0.14644591510295868,17379
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,2,random_2,0.1699812114238739,22937
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,3,random_3,0.140154629945755,12105
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,4,random_4,0.1548762321472168,22631
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,5,random_5,0.1467593014240265,2007
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,6,random_6,0.1418832242488861,6242
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,7,random_7,0.13902318477630615,13700
public_sae,public_sae,Public JB SAE,random,4,blocks.5.hook_resid_pre,8,random_8,0.1394423395395279,23040
